id_transacao,id_vendedor,id_comprador,tipo,valor,data
40,17,15,"compra_de_biomassa",1713.06,"2024-03-06T00:00:00"
41,11,1,"credito_de_carbono",3457.35,"2025-08-25T00:00:00"
42,8,1,"compra_de_biomassa",4334.69,"2024-03-01T00:00:00"
43,8,3,"compra_de_biomassa",5199.92,"2024-03-13T00:00:00"
44,17,8,"venda_de_biomassa",4113.17,"2024-08-07T00:00:00"
45,18,5,"credito_de_carbono",5632.43,"2025-08-07T00:00:00"
46,19,16,"compra_de_biomassa",4772.33,"2026-04-06T00:00:00"
47,14,7,"compra_de_biomassa",852.51,"2025-03-17T00:00:00"
48,12,14,"venda_de_biomassa",2962.04,"2026-01-16T00:00:00"
49,2,4,"compra_de_biomassa",2594.94,"2024-12-13T00:00:00"
50,4,8,"compra_de_biomassa",1384.19,"2025-04-04T00:00:00"
51,5,14,"compra_de_biomassa",1887.71,"2024-09-12T00:00:00"
52,3,15,"credito_de_carbono",858.08,"2025-10-29T00:00:00"
53,18,1,"compra_de_biomassa",5580.29,"2024-08-30T00:00:00"
54,6,14,"venda_de_biomassa",3043.74,"2025-02-14T00:00:00"
55,2,6,"venda_de_biomassa",312.29,"2025-02-03T00:00:00"
56,9,15,"venda_de_biomassa",2711.14,"2026-01-18T00:00:00"
57,18,16,"compra_de_biomassa",1382.42,"2024-08-10T00:00:00"
58,2,19,"credito_de_carbono",3390.51,"2026-02-04T00:00:00"
59,11,2,"compra_de_biomassa",3629.81,"2025-05-29T00:00:00"
60,17,6,"compra_de_biomassa",5776.44,"2024-03-23T00:00:00"
61,6,3,"credito_de_carbono",687.38,"2024-08-28T00:00:00"
62,13,4,"credito_de_carbono",1703.43,"2025-08-31T00:00:00"
63,2,20,"compra_de_biomassa",2689.58,"2025-08-20T00:00:00"
64,19,17,"venda_de_biomassa",5627.83,"2024-07-28T00:00:00"
65,11,8,"venda_de_biomassa",2555.98,"2025-11-18T00:00:00"
66,10,15,"venda_de_biomassa",5595.4,"2024-03-15T00:00:00"
67,1,15,"credito_de_carbono",5991.19,"2024-04-12T00:00:00"
68,3,18,"compra_de_biomassa",3183.54,"2024-05-15T00:00:00"
69,12,3,"compra_de_biomassa",2406.3,"2024-06-10T00:00:00"
70,15,18,"credito_de_carbono",2024.35,"2026-04-06T00:00:00"
71,17,1,"credito_de_carbono",4957.49,"2024-11-02T00:00:00"
72,4,5,"venda_de_biomassa",957.94,"2024-04-19T00:00:00"
73,18,5,"venda_de_biomassa",1906.01,"2024-08-03T00:00:00"
74,11,7,"credito_de_carbono",3915.16,"2024-09-27T00:00:00"
75,17,16,"venda_de_biomassa",5460.42,"2024-02-22T00:00:00"
76,3,14,"venda_de_biomassa",551.29,"2024-12-07T00:00:00"
77,5,9,"compra_de_biomassa",4525.02,"2025-07-18T00:00:00"
78,14,18,"compra_de_biomassa",937.68,"2025-12-08T00:00:00"
79,5,18,"compra_de_biomassa",5057.19,"2025-08-19T00:00:00"
80,18,5,"venda_de_biomassa",1026.44,"2024-11-11T00:00:00"
81,12,2,"venda_de_biomassa",1497.44,"2024-09-12T00:00:00"
82,4,12,"credito_de_carbono",5339.57,"2025-02-20T00:00:00"
83,20,5,"compra_de_biomassa",5228.25,"2026-03-30T00:00:00"
84,6,14,"compra_de_biomassa",1322.36,"2024-12-06T00:00:00"
85,14,8,"venda_de_biomassa",1207.43,"2025-12-19T00:00:00"
86,4,13,"compra_de_biomassa",5193.98,"2024-08-15T00:00:00"
87,7,15,"venda_de_biomassa",2039.59,"2026-03-25T00:00:00"
88,8,8,"compra_de_biomassa",4062.19,"2025-02-12T00:00:00"
89,11,9,"compra_de_biomassa",5811.27,"2024-10-12T00:00:00"
90,12,17,"venda_de_biomassa",4173.25,"2026-05-13T00:00:00"
91,18,11,"compra_de_biomassa",957.45,"2024-09-24T00:00:00"
92,6,19,"venda_de_biomassa",518.07,"2025-09-02T00:00:00"
93,14,12,"credito_de_carbono",4782.64,"2025-03-22T00:00:00"
94,20,17,"compra_de_biomassa",2495.61,"2025-08-13T00:00:00"
95,7,9,"compra_de_biomassa",4340.08,"2024-01-02T00:00:00"
96,17,18,"credito_de_carbono",4400.75,"2026-01-29T00:00:00"
97,7,12,"venda_de_biomassa",698.85,"2025-11-11T00:00:00"
98,11,20,"venda_de_biomassa",4081.31,"2024-05-07T00:00:00"
99,10,17,"venda_de_biomassa",4101.29,"2024-11-30T00:00:00"
100,13,10,"credito_de_carbono",1025.54,"2025-03-06T00:00:00"
